meses,meses_nombre,dias_num,year,dia,Temp_entrada,Temp_ZA,Humedad_entrada,Humedad_ZA
11,Noviembre,28,2016,Lunes,22,NA,63,NA
11,Noviembre,29,2016,Martes,22,NA,53,NA
11,Noviembre,30,2016,Miercoles,22,NA,54,NA
12,Diciembre,1,2016,Jueves,22,NA,46,NA
12,Diciembre,2,2016,Viernes,23,NA,46,NA
12,Diciembre,5,2016,Lunes,22,NA,56,NA
12,Diciembre,6,2016,Martes,22,NA,49,NA
12,Diciembre,7,2016,Miercoles,22,NA,46,NA
12,Diciembre,8,2016,Jueves,22,NA,45,NA
12,Diciembre,9,2016,Viernes,23,NA,44,NA
12,Diciembre,12,2016,Lunes,22,NA,45,NA
12,Diciembre,13,2016,Martes,23,NA,48,NA
12,Diciembre,14,2016,Miercoles,22,NA,51,NA
12,Diciembre,15,2016,Jueves,22,NA,46,NA
12,Diciembre,16,2016,Viernes,23,NA,44,NA
12,Diciembre,19,2016,Lunes,22,NA,43,NA
12,Diciembre,20,2016,Martes,22,NA,45,NA
12,Diciembre,21,2016,Miercoles,22,NA,44,NA
12,Diciembre,22,2016,Jueves,23,NA,48,NA
12,Diciembre,23,2016,Viernes,22,NA,49,NA
12,Diciembre,26,2016,Lunes,22,NA,44,NA
12,Diciembre,27,2020,Martes,22,NA,44,NA
12,Diciembre,28,2016,Miercoles,22,NA,45,NA
12,Diciembre,29,2016,Jueves,23,NA,44,NA
12,Diciembre,30,2016,Viernes,22,NA,46,NA
1,Enero,2,2017,Lunes,22,NA,48,NA
1,Enero,3,2017,Martes,22,NA,54,NA
1,Enero,4,2017,Miercoles,22,NA,51,NA
1,Enero,5,2017,Jueves,22,NA,44,NA
1,Enero,6,2017,Viernes,22,NA,45,NA
1,Enero,9,2017,Lunes,22,NA,48,NA
1,Enero,10,2017,Martes,22,NA,44,NA
1,Enero,11,2017,Miercoles,22,NA,40,NA
1,Enero,12,2017,Jueves,23,NA,45,NA
1,Enero,13,2017,Viernes,23,NA,37,NA
1,Enero,16,2017,Lunes,22,NA,40,NA
1,Enero,17,2017,Martes,23,NA,43,NA
1,Enero,18,2017,Miercoles,22,NA,45,NA
1,Enero,19,2017,Jueves,22,NA,42,NA
1,Enero,20,2017,Viernes,22,NA,45,NA
1,Enero,23,2017,Lunes,22,NA,45,NA
1,Enero,24,2017,Martes,22,NA,48,NA
1,Enero,25,2017,Miercoles,23,NA,50,NA
1,Enero,26,2017,Jueves,22,NA,49,NA
1,Enero,27,2017,Viernes,24,NA,45,NA
1,Enero,30,2017,Lunes,24,NA,42,NA
1,Enero,31,2017,Martes,23,NA,48,NA
2,Febrero,1,2017,Miercoles,22,NA,50,NA
2,Febrero,2,2017,Jueves,22,NA,50,NA
2,Febrero,3,2017,Viernes,23,NA,49,NA
2,Febrero,6,2017,Lunes,22,NA,54,NA
2,Febrero,7,2017,Martes,23,NA,48,NA
2,Febrero,8,2017,Miercoles,22,NA,45,NA
2,Febrero,9,2017,Jueves,23,NA,48,NA
2,Febrero,10,2017,Viernes,22,NA,48,NA
2,Febrero,13,2017,Lunes,22,NA,45,NA
2,Febrero,14,2017,Martes,22,NA,35,NA
2,Febrero,15,2017,Miercoles,22,NA,40,NA
2,Febrero,16,2017,Jueves,22,NA,54,NA
2,Febrero,17,2017,Viernes,23,NA,35,NA
2,Febrero,20,2017,Lunes,21,NA,54,NA
2,Febrero,21,2017,Martes,22,NA,48,NA
2,Febrero,22,2017,Miercoles,22,NA,54,NA
2,Febrero,23,2017,Jueves,21,NA,54,NA
2,Febrero,24,2017,Viernes,21,NA,48,NA
2,Febrero,27,2017,Lunes,21,NA,50,NA
2,Febrero,28,2017,Martes,21,NA,54,NA
3,Marzo,1,2017,Miercoles,22,NA,54,NA
3,Marzo,2,2017,Jueves,23,NA,50,NA
3,Marzo,3,2017,Viernes,21,NA,50,NA
3,Marzo,6,2017,Lunes,22,NA,35,NA
3,Marzo,7,2017,Martes,22,NA,35,NA
3,Marzo,8,2017,Miercoles,22,NA,35,NA
3,Marzo,9,2017,Jueves,24,NA,33,NA
3,Marzo,10,2017,Viernes,25,NA,35,NA
3,Marzo,13,2017,Lunes,21,NA,34,NA
3,Marzo,14,2017,Martes,22,NA,35,NA
3,Marzo,15,2017,Miercoles,21,NA,35,NA
3,Marzo,16,2017,Jueves,22,NA,48,NA
3,Marzo,17,2017,Viernes,22,NA,45,NA
3,Marzo,20,2017,Lunes,21,NA,48,NA
3,Marzo,21,2017,Martes,20,NA,43,NA
3,Marzo,22,2017,Miercoles,23,NA,39,NA
3,Marzo,23,2017,Jueves,23,NA,35,NA
3,Marzo,24,2017,Viernes,20,NA,35,NA
3,Marzo,27,2017,Lunes,20,NA,35,NA
3,Marzo,28,2017,Martes,21,NA,35,NA
3,Marzo,29,2017,Miercoles,21,NA,40,NA
3,Marzo,30,2017,Jueves,22,NA,45,NA
3,Marzo,31,2017,Viernes,22,NA,45,NA
4,Abril,3,2017,Lunes,23,NA,40,NA
4,Abril,4,2017,Martes,22,NA,45,NA
4,Abril,5,2017,Miercoles,22,NA,45,NA
4,Abril,6,2017,Jueves,22,NA,51,NA
4,Abril,7,2017,Viernes,23,NA,50,NA
4,Abril,10,2017,Lunes,22,NA,47,NA
4,Abril,11,2017,Martes,21,NA,50,NA
4,Abril,12,2017,Miercoles,20,NA,51,NA
4,Abril,13,2017,Jueves,23,NA,53,NA
4,Abril,14,2017,Viernes,23,NA,51,NA
4,Abril,17,2017,Lunes,20,NA,48,NA
4,Abril,18,2017,Martes,21,NA,48,NA
4,Abril,19,2017,Miercoles,20,NA,47,NA
4,Abril,20,2017,Jueves,20,NA,51,NA
4,Abril,21,2017,Viernes,23,NA,50,NA
4,Abril,22,2017,Lunes,24,NA,49,NA
