Date,Fecha,Dia,Temperatura (entrada),Temperatura (zona ampliación),Humedad (entrada),Humedad (zona ampliación),Year,Monitoreo
297,19-Feb-13,Martes,21,NA,44,NA,2013,
298,20-Feb-13,Miércoles,21,NA,44,NA,2013,
299,21-Feb-13,Jueves,,NA,,NA,2013,
300,22-Feb-13,Viernes,,NA,,NA,2013,
301,25-Feb-13,Lunes,,NA,,NA,2013,
302,26-Feb-13,Martes,,NA,,NA,2013,
303,27-Feb-13,Miércoles,21,NA,43,NA,2013,
304,28-Feb-13,Jueves,21,NA,45,NA,2013,
305,1-Mar-13,Viernes,21,NA,45,NA,2013,
306,4-Mar-13,Lunes,23,NA,44,NA,2013,
307,5-Mar-13,Martes,24,NA,43,NA,2013,
308,6-Mar-13,Miércoles,24,NA,44,NA,2013,
309,7-Mar-13,Jueves,24,NA,43,NA,2013,
310,8-Mar-13,Viernes,24,NA,43,NA,2013,
311,11-Mar-13,Lunes,23,NA,42,NA,2013,
312,12-Mar-13,Martes,24,NA,48,NA,2013,
313,13-Mar-13,Miércoles,24,NA,50,NA,2013,
314,14-Mar-13,Jueves,24,NA,46,NA,2013,
315,15-Mar-13,Viernes,24,NA,43,NA,2013,
316,18-Mar-13,Lunes,23,NA,41,NA,2013,
317,19-Mar-13,Martes,23,NA,42,NA,2013,
318,20-Mar-13,Miércoles,24,NA,41,NA,2013,
319,21-Mar-13,Jueves,24,NA,40,NA,2013,
320,22-Mar-13,Viernes,23,NA,38,NA,2013,
321,25-Mar-13,Lunes,23,NA,38,NA,2013,
322,26-Mar-13,Martes,24,NA,40,NA,2013,
323,27-Mar-13,Miércoles,24,NA,41,NA,2013,
324,28-Mar-13,Jueves,24,NA,43,NA,2013,
325,29-Mar-13,Viernes,,NA,,NA,2013,
326,1-Apr-13,Lunes,29,NA,33,NA,2013,
327,2-Apr-13,Martes,24,NA,36,NA,2013,
328,3-Apr-13,Miércoles,24,NA,37,NA,2013,
329,4-Apr-13,Jueves,24,NA,38,NA,2013,
330,5-Apr-13,Viernes,25,NA,37,NA,2013,
331,8-Apr-13,Lunes,22,NA,35,NA,2013,
332,9-Apr-13,Martes,23,NA,35,NA,2013,
333,10-Apr-13,Miércoles,24,NA,37,NA,2013,
334,11-Apr-13,Jueves,24,NA,36,NA,2013,
335,12-Apr-13,Viernes,24,NA,35,NA,2013,
336,15-Apr-13,Lunes,24,NA,34,NA,2013,
337,16-Apr-13,Martes,24,NA,35,NA,2013,
338,17-Apr-13,Miércoles,24,NA,35,NA,2013,
339,18-Apr-13,Jueves,23,NA,35,NA,2013,
340,19-Apr-13,Viernes,23,NA,35,NA,2013,
341,22-Apr-13,Lunes,24,NA,34,NA,2013,
342,23-Apr-13,Martes,23,NA,35,NA,2013,
343,24-Apr-13,Miércoles,24,NA,38,NA,2013,
344,25-Apr-13,Jueves,24,NA,36,NA,2013,
345,26-Apr-13,Viernes,,NA,,NA,2013,
346,29-Apr-13,Lunes,23,NA,33,NA,2013,
347,30-Apr-13,Martes,23,NA,34,NA,2013,
348,1-May-13,Miércoles,,NA,,NA,2013,
349,2-May-13,Jueves,23,NA,33,NA,2013,
350,3-May-13,Viernes,,NA,,NA,2013,
351,6-May-13,Lunes,23,NA,33,NA,2013,
352,7-May-13,Martes,23,NA,33,NA,2013,
353,8-May-13,Miércoles,23,NA,33,NA,2013,
354,9-May-13,Jueves,,NA,,NA,2013,
355,10-May-13,Viernes,,NA,,NA,2013,
356,13-May-13,Lunes,23,NA,34,NA,2013,
357,14-May-13,Martes,,NA,,NA,2013,
358,15-May-13,Miércoles,,NA,,NA,2013,
359,16-May-13,Jueves,,NA,,NA,2013,
360,17-May-13,Viernes,,NA,,NA,2013,
361,20-May-13,Lunes,23,NA,32,NA,2013,
362,21-May-13,Martes,23,NA,33,NA,2013,
363,22-May-13,Miércoles,23,NA,33,NA,2013,
364,23-May-13,Jueves,23,NA,33,NA,2013,
365,24-May-13,Viernes,,NA,,NA,2013,
366,27-May-13,Lunes,22,NA,34,NA,2013,
367,28-May-13,Martes,22,NA,34,NA,2013,
368,29-May-13,Miércoles,22,NA,36,NA,2013,
369,30-May-13,Jueves,23,NA,33,NA,2013,
370,31-May-13,Viernes,22,NA,34,NA,2013,
371,3-Jun-13,Lunes,23,NA,37,NA,2013,
372,4-Jun-13,Martes,22,NA,37,NA,2013,
373,5-Jun-13,Miércoles,22,NA,38,NA,2013,
374,6-Jun-13,Jueves,22,NA,37,NA,2013,
375,7-Jun-13,Viernes,23,NA,37,NA,2013,
376,10-Jun-13,Lunes,22,NA,36,NA,2013,
377,11-Jun-13,Martes,22,NA,38,NA,2013,
378,12-Jun-13,Miércoles,22,NA,37,NA,2013,
379,13-Jun-13,Jueves,22,NA,38,NA,2013,
380,14-Jun-13,Viernes,22,NA,41,NA,2013,
381,17-Jun-13,Lunes,,NA,,NA,2013,
382,18-Jun-13,Martes,,NA,,NA,2013,
383,19-Jun-13,Miércoles,,NA,,NA,2013,
384,20-Jun-13,Jueves,23,NA,35,NA,2013,
385,21-Jun-13,Viernes,23,NA,35,NA,2013,
386,24-Jun-13,Lunes,23,NA,35,NA,2013,
387,25-Jun-13,Martes,23,NA,36,NA,2013,
388,26-Jun-13,Miércoles,23,NA,39,NA,2013,
389,27-Jun-13,Jueves,23,NA,39,NA,2013,
390,28-Jun-13,Viernes,23,NA,41,NA,2013,
391,1-Jul-13,Lunes,23,NA,37,NA,2013,
392,2-Jul-13,Martes,23,NA,39,NA,2013,
393,3-Jul-13,Miércoles,23,NA,43,NA,2013,
394,4-Jul-13,Jueves,23,NA,48,NA,2013,
395,5-Jul-13,Viernes,23,NA,46,NA,2013,
396,8-Jul-13,Lunes,23,NA,44,NA,2013,
397,9-Jul-13,Martes,23,NA,46,NA,2013,
398,10-Jul-13,Miércoles,23,NA,47,NA,2013,
399,11-Jul-13,Jueves,23,NA,47,NA,2013,
400,12-Jul-13,Viernes,23,NA,50,NA,2013,
401,15-Jul-13,Lunes,23,NA,52,NA,2013,
402,16-Jul-13,Martes,23,NA,54,NA,2013,
403,17-Jul-13,Miércoles,23,NA,55,NA,2013,
404,18-Jul-13,Jueves,23,NA,47,NA,2013,
405,19-Jul-13,Viernes,23,NA,47,NA,2013,
406,22-Jul-13,Lunes,23,NA,45,NA,2013,
407,23-Jul-13,Martes,23,NA,44,NA,2013,
408,24-Jul-13,Miércoles,23,NA,46,NA,2013,
409,25-Jul-13,Jueves,23,NA,47,NA,2013,
410,26-Jul-13,Viernes,23,NA,45,NA,2013,
411,29-Jul-13,Lunes,23,NA,44,NA,2013,
412,30-Jul-13,Martes,23,NA,45,NA,2013,
413,31-Jul-13,Miércoles,23,NA,44,NA,2013,
414,1-Aug-13,Jueves,23,NA,47,NA,2013,
415,2-Aug-13,Viernes,23,NA,52,NA,2013,
416,5-Aug-13,Lunes,23,NA,46,NA,2013,
417,6-Aug-13,Martes,23,NA,45,NA,2013,
418,7-Aug-13,Miércoles,23,NA,45,NA,2013,
419,8-Aug-13,Jueves,23,NA,45,NA,2013,
420,9-Aug-13,Viernes,23,NA,44,NA,2013,
421,12-Aug-13,Lunes,23,NA,44,NA,2013,
422,13-Aug-13,Martes,23,NA,44,NA,2013,
423,14-Aug-13,Miércoles,23,NA,44,NA,2013,
424,15-Aug-13,Jueves,23,NA,46,NA,2013,
425,16-Aug-13,Viernes,23,NA,45,NA,2013,
426,19-Aug-13,Lunes,23,NA,46,NA,2013,
427,20-Aug-13,Martes,23,NA,45,NA,2013,
428,21-Aug-13,Miércoles,23,NA,46,NA,2013,
429,22-Aug-13,Jueves,23,NA,45,NA,2013,
430,23-Aug-13,Viernes,23,NA,45,NA,2013,
431,26-Aug-13,Lunes,23,NA,48,NA,2013,
432,27-Aug-13,Martes,23,NA,49,NA,2013,
433,28-Aug-13,Miércoles,,NA,,NA,2013,
434,29-Aug-13,Jueves,,NA,,NA,2013,
435,30-Aug-13,Viernes,,NA,,NA,2013,
436,2-Sep-13,Lunes,23,NA,51,NA,2013,
437,3-Sep-13,Martes,22,NA,55,NA,2013,
438,4-Sep-13,Miércoles,23,NA,51,NA,2013,
439,5-Sep-13,Jueves,23,NA,58,NA,2013,
440,6-Sep-13,Viernes,23,NA,45,NA,2013,
441,9-Sep-13,Lunes,23,NA,42,NA,2013,
442,10-Sep-13,Martes,23,NA,42,NA,2013,
443,11-Sep-13,Miércoles,23,NA,45,NA,2013,
444,12-Sep-13,Jueves,23,NA,43,NA,2013,
445,13-Sep-13,Viernes,23,NA,38,NA,2013,
446,16-Sep-13,Lunes,23,NA,36,NA,2013,
447,17-Sep-13,Martes,23,NA,37,NA,2013,
448,18-Sep-13,Miércoles,23,NA,39,NA,2013,
449,19-Sep-13,Jueves,23,NA,36,NA,2013,
450,20-Sep-13,Viernes,23,NA,36,NA,2013,
